strengths,weaknesses,review_id,submission_id,type,review_text
"['Novelty and Innovation', 'Clarity and Presentation', 'Significant Improvements']","['Experimental Validation and Evidence', 'Domain or Dataset Limitations', 'Reproducibility and Implementation Details']",LLlIdY6Tv1,WyyawATBhs,human,"The paper presents a method to distill a pretrained transformer model into a student Mamba model. The core idea of the paper relies on the high-level shared functionality of the B and C projections of the SSM and the K and Q projections of the Transformer. The distillation method aligns these using a small learnable MLP projection module (the Attention Bridge). The alignment can also happen in situations where the number of layers in the student and teacher models is different by doing proportional indexing between layers in the learning process.

Overall, I found that the paper has a combination of neat ideas, however is seriously lacking in experimental rigor as well as soundness (see weaknesses and questions). It also makes some claims that I believe are misleading. In the current state, I am leaning to reject the paper.
- The paper has a combination of intuitive ideas (e.g. the Attention Bridge, the layerwise proportional indexing for asymmetric teacher and students), and these are introduced and demonstrated well.

- The chosen baselines make sense to compare against, and the proposed method seems generally superior to them.

- The paper is generally well written and is easy to read and understand.
- The paper restricts evaluation to situations in which the choice of teacher model is the same (or similar) size as the student model (e.g. Deit Tiny to Vim Tiny, Deit Small to Vim Small in most experiments, and only one experiment with the immediately larger model variation used as teacher). I think that distillation presents the most practical value when we can use a larger teacher to train a smaller student model (e.g. Deit base, large, or huge used as a teacher for a smaller Vim model). The paper contains a layer-wise alignment strategy in L216 which was used for the other comparisons, but not for the situation in which the teacher model is significantly larger (which is often going to be the case in a practical distillation scenario)

- I find it problematic that we need to do 300 epochs of distillation on a randomly chosen subset of ImageNet, and the only reported metric is top-1 ImageNet accuracy. Moreover, we use a teacher model trained on ImageNet to train a student model that is also previously trained on ImageNet!

- ImageNet-1K as a dataset in itself has several unique characteristics (e.g. artificially balanced classes, a particular kind of class distribution) etc that are usually not representative of real deployments. In my opinion, showing some results on additional tasks (e.g. ADE-20k segmentation like the ViM paper does) would have been helpful to strengthen the paper.

- I find Figure 1 (a) slightly misleading for a number of reasons. For example, calling SSM-based training slow and attention based inference slow are both a massive stretch. The real inference performance of Transformers with FlashAttention etc can be faster than supposedly linear SSM implementations. At the same time, the training time of a Mamba-2 model can be lesser than an equivalent transformer due to faster convergence. Making such a strong claim in the most important figure of the paper could mislead the reader.

- I think the LM side of the experiments could have used significantly more rigor. E.g. using additional base models at different parameter ranges, and evaluating on additional downstream tasks using a standard tool like LM Eval Harness. In general, the core result is just comparing DistillGPT to PhiMamba, which is very insufficient in my opinion.

- The choice of LM models was conceivably due to a similar number of GFlops. However, this alone can be misleading given the different execution methods of the Transformer and Mamba models. I also find it slightly problematic that an 88M param model was used as a teacher for a 123M param model. At this model size, there is nothing concrete that can be ascertained about scaling trends, but at the very least, I believe that the teacher model here could have been a few more variations with higher parameter counts.

- The student models in the paper are typically also pretrained models on a specific dataset. For a more generally applicable method, I think there should also have been results for when the student model is trained from scratch and does not contain the same data biases that the teacher model does.
- For the claim in the abstract, “Moreover, the structural heterogeneity between
SSMs and Transformers makes it challenging to efficiently distill knowledge from
pretrained attention model” -> how do you reconcile this with a work like Mamba-2 showing the structured state space duality between Transformers and Mamba-2 like models?

- Why is Section A.2 in the appendix and not the main paper? Results on a 1.5B model are a lot more relevant than the 123M parameter model in my opinion. Also, why not additional LM parameter variations?

- “Standard ImageNet augmentations, including random cropping and horizontal flipping, are applied during training” -> this is often a critical detail in ImageNet runs. The chosen baseline method (DeiT) and the Vision Mamba model use slightly different ones, which may lead to inconsistent behavior. Could you please specify the exact augmentations and training parameters used?"
"['Clarity and Presentation', 'Theoretical Foundation and Contributions', 'Empirical Validation and Results']","['Comparative Analysis and Baselines', 'Domain or Dataset Limitations', 'Robustness and Consistency']",pJGJfZwmUM,bZBJFrxH1H,human,"The paper introduces Concrete Score Distillation (CSD), a novel training objective for improved large language model's knowledge distillation. Based on the observation that softmax is invariant to constant addition, the proposed method extends direct logit distillation (DLD) by allowing student's logits to be matched to the teacher's logits shifted by an arbitrary constant. The paper further introduces and experiments with various weighting functions to balance the output accuracy and diversity of the trained student. Experiments show that the proposed method outperforms prior approaches compared to divergence-based loss function, and that it achieves complementary gains when used in combination with recent on-policy KD methods.
1. The paper, including the algorithm, theoretical analyses and proofs, is well-written and easy to follow.
1. The idea of enhancing logit matching distillation by accounting for the logit shift invariance is well-motivated and reasonable.
1. The author's extension to DLD theoretically and empirically achieves the target of logit shift invariance.
1. The experimental results show improvements compared to the baselines, across multiple model families and model sizes.
1. The paper is well placed in existing literature, and prior works considered are thorough.
1. The authors claim that one of their motivations is that vanilla KLD gives almost identical and very low probabilities and gradients to the low-probability tokens in the tail. While their method, with uniform weighting (w1,w2=U) would indeed achieve their target of ""overcoming the softmax-induced smoothing of teacher knowledge"", most of their results use w1,w2 as either student or teacher probabilities. As these values are very small and almost zero, a very similar smoothing is also present in the proposed method.
1. Comparison with DLD: since the method is an extension to DLD, I believe it would be more appropriate to compare the method with variants of logit matching methods. Currently, only the comparison between DLD and CSD on GPT2-0.1B for the five benchmarks is given. It would be great to see how CSD compares against DLD at larger model sizes, different datasets, etc.
1. Weighting function: not using weighting function (corresponding to the (u, u) setting in the paper) performs significantly worse compared to other divergence-based baselines, and the overall performance seems to be heavily impacted by the choice of the weighting function. Furthermore, with S as a weighing function, DLD performance seems to be only slightly worse than the proposed method. This makes me wonder if similar performance improvement can be made to the divergence-based methods by adding similar weighting function to those.
1. The method is only tested on relatively small datasets (eg. 15000 samples), its effectiveness in longer training horizon is unexplored.
1. Most of the experiments were performed on a relatively weak model (GPT2), with only some experiments on Openllama/gemma. It is uncertain if the results will hold with newer/stronger models.
1. In figure 4, ""Ours"" refers to which exact model/setting for the two model sizes? Just CSD, or perhaps ImitKD+Ours, or something else? Could the authors share the GPT evaluation scores of vanilla CSD, GKD+ours, DistilLLM+ours,ImitKD+ours if these were also evaluated?
1. For results in Table 3, w1,w2 were used as (t,s) (as mentioned in line 879) compared to the ""default""(as mentioned in line 312) of (s,s) elsewhere. Can the authors elaborate on why were w1,w2 changed for these experiments? If the authors tried (s,s) first, could they share these results?
1. In figure 8 (a) and (b), could the authors also share the KL-divergence/MSE/some other divergence metric between the teacher and student probabilities corresponding to y1 to y10? This will prove that the student probabilities with CSD maintain similarity to teacher inspite of logit shift."
"['Novelty and Innovation', 'Significant Improvements', 'Empirical Validation and Results']","['Scope and Generalizability Concerns', 'Experimental Validation and Evidence', 'Domain or Dataset Limitations']",xZXrfBJCHf,YzkY4RR1nG,human,"In this work, the authors transfer knowledge from a highly expressive GNN as a teacher model to a MPNNs with lower expressiveness but faster inference as a student model, thereby improving the performance of the student model.
This work proposes a universal distillation framework that compresses multiple high expressive teachers into MPNN students with linear complexity and improves the performance on multiple molecular benchmarks.
The authors select the strongest teacher in multiple test sets, weakening the reliability of the core conclusion that expressive power is not the main cause. As the experiment mainly focuses on molecular benchmarks, the generalizability is not clear.
1.Need more experimental or theoretical support to determine that 'expressive power is not the main cause'.

2.Experiments on other datasets beyond molecular benchmarks are necessary. It can provide a clearer explanation of generalizability."
"['Comprehensive Analysis and Evaluation', 'Experimental Rigor and Validation', 'Practical Relevance and Applicability']","['Outdated Methods or Comparisons', 'Scope and Generalizability Concerns', 'Domain or Dataset Limitations']",ZrYWF2a7Od,W8VCH9x1HZ,human,"This paper systemically revisits the problem of data laundering—the unconscious transfer of test-set knowledge via knowledge distillation (KD) from a contaminated teacher model to a clean student. 

First, this paper conduct systematic experiments across eight text classification benchmarks using BERT-based teachers and DistilBERT students. They find that performance gains from laundering are significantly smaller and often statistically insignificant compared to those from direct contamination, which suggests that KD may indeed function as an effective decontamination method.   
Secondly, through sample-level correlation analysis, this paper shows that laundering is a distinct mechanism rather than a diluted form of contamination.   
Finally, this paper demonstrates that laundering effects intensify when the train–test distributional gap widens, suggesting benchmark-specific susceptibility rather than universal vulnerability.
1. This paper provides the first large-scale, controlled study that quantifies the prevalence and mechanisms of data laundering. Compared to the pioneer work (Mansurov et al. 2025), the experimental setting in this paper is more scientific and comprehensive, which provides more convinced understanding for data laundering problem in KD. 

2. This paper suggests that KD actually generally reduces contamination rather than propagating it, which mitigates the concern of its usage in practical, especially in the LLM era.
1. This paper mainly explores BERT-based models, which is kind of out-of-date in the LLM era. It would be better that if this paper could explores the data laundering issue in GPT-style models in future works, as it's more popular and practical recently. 

2. Based on thorough experiments in this paper, it would be better if this paper can provides some guidance for test set or benchmark curation in terms of train-test domain gap. I believe this can be a potential application for the data laundering issue in practical.
1. Given the train-test domain gap finding in this paper, can the author provide some guidance or suggestions for benchmark curation?"
"['Practical Relevance and Applicability', 'Methodological Soundness and Innovation', 'Empirical Validation and Results']","['Clarity and Presentation Issues', 'Scope and Generalizability Concerns', 'Experimental Validation and Evidence']",wX57FPXVH5,vsLZPkKCAB,human,"This paper introduces Dynamic Pattern Alignment Learning (DPAL), a framework for training small human-centric vision model via distillation from large models (e.g., PATH). The proposed method employs three alignment objectives, each considering different visual patterns (global identity, local shape and instance relation). The patterns are decoded from student representation via Dynamic Pattern Decoder (D-PaDe), a dynamic MoE model with three experts that can help avoiding optimization conflict between different alignment objectives. Empirical evalutaion of DPAL under 15 datasets show that the distilled DPAL-ViT/Ti outperforms self-supervised pretraining or distillation baselines.
- **Practical Research Goal:** The method tackles the important and practical challenge of creating generalizable, lightweight Human-centric Vision Models (HVMs) without relying on massive, private pretraining datasets.
- **Novel Distillation Framework:** The paper proposes a novel approach (DPAL) to distill three distinct visual patterns (global, local, and interaction). The core component, a dynamic pattern decoder (D-PaDe), is designed as a dynamic Mixture-of-Experts to mitigate optimization conflicts between these heterogeneous patterns.
- **Strong Empirical Results:** The lightweight 5M-parameter model shows impressive performance across 15 diverse datasets, significantly outperforming prior distillation methods.
- **Ambiguous 'Generalization' Claim:** The claim of distilling ""generalization capability"" is potentially overstated. The framework's design appears to be a form of multi-task distillation with objectives that are highly tailored to the downstream evaluation categories, rather than a method for learning a truly general representation.
    - For instance, the global-level objective (aligning multiple student representation from multi-view images to single teacher representation) and the local-level objective (using a teacher-generated body mask) introduce strong inductive biases that directly benefit the ReID and dense prediction tasks, respectively.
    - This strong alignment between objectives and evaluation tasks makes it difficult to assess if the model has learned an emergent, general ability or has simply been co-designed to excel on this specific benchmark.
- **Clarity and Presentation Issues:** The paper's clarity is hindered by several issues that affect understanding and reproducibility:
    - **Unconventional Terminology:** The paper uses non-standard terms. For example, referring to an $L \times L$ attention matrix as an ""attention token"" seems unconventional. More fundamentally, the term ""distillation-based pretraining"" is confusing; this process can be simply described as knowledge distillation.
    - **Undefined Notations:** Some notations are used without proper definition. For example, the teacher-side targets (e.g., $\widetilde{F_{t}^{g}}$ and $\widetilde{F_{t}^{l}}$) in Equations (4) and (5) are used without a clear definition in the text.
    - **Missing Visualization Details:** The methodology for generating the qualitative visualizations in Figure 3 is not explained in the paper. This makes the accompanying qualitative analysis difficult to interpret, as it's unclear how the visualizations support the claim about instance distinction (”DPAL can distinguish between different instances”). It is also hard to interpret what it means by “achieves results comparable to teacher model” (L421).
- **Weak Empirical Support for D-PaDe:** The central claim that the *dynamic* nature of D-PaDe is crucial for mitigating “inter-pattern conflict” is not sufficiently supported.
    - **Insufficient Ablation for 'Dynamic' Design:** The main paper (Table 3) lacks a critical comparison against static decoder baselines. While an ablation exists in the appendix (Table 11), the results are not compelling, showing marginal or no gains for D-PaDe over the baselines. This minimal improvement does not seem to strongly justify the added complexity of the dynamic expert generator.
    - **Unsupported Claim of 'Conflict Mitigation':** The paper's only evidence for conflict mitigation is that removing D-PaDe entirely hurts performance, which is insufficient. A more rigorous experiment would be to repeat the loss-component ablation (e.g., $l_g$ only, $l_l$ only, …) on the ""w/o D-PaDe"" baseline. If D-PaDe truly mitigates conflict, one would expect to see harsher performance trade-offs on the ablated model, which is not demonstrated.
- **Justification for Specialized HVMs vs. General-Purpose Baselines:** I would like to hear from the authors about the high-level motivation for HVMs, as I am not much familiar with HVMs.
    - What is the core justification for pretraining specialized human-centric models, as opposed to simply fine-tuning general-purpose vision foundation models for these tasks?
    - Could the authors conduct experiments for comparison to a simple baseline using an lightweight model trained on natural image (e.g., DINO-S), after simply fine-tuning it on human dataset? This comparison seems essential to validate that the complex distillation from a large HVM provides a tangible benefit over standard pretraining.
    - For the self-supervised baselines, were these trained from scratch on LUP1M, or were they initialized from some general-domain checkpoints? I suspect they can perform better if initialized from general-domain checkpoint as the scale of dataset is limited.
- **Clarification on Self-Attention Operation:** There is an ambiguity in the equations (1-3).
    - Equation (1) shows $SA(F_{s1}^{g})$, where $F_{s1}^{g}$ is defined as the single class token. Applying standard self-attention to a single token would be mathematically redundant and equivalent to a linear projection. Could the authors clarify the implementation?
    - This formulation also appears to conflict with the description in Section 3.1 (""a self-attention module SA() is used to encode pattern queries"" ) and the diagram in Figure 2, which implies SA is applied to entire sequence of feature tokens, not only on single token. Please clarify this discrepancy.
- **Ablation on Cross-Domain Tasks:** The ablation study in Table 3 only uses three representative tasks. Given the concerns about task-specific inductive biases (e.g., the foreground mask), it would be insightful to see this ablation extended to a cross-domain task (e.g., HumanArt). This would help test whether all three alignment objectives are truly beneficial in a more general setting where the injected biases may not be as directly applicable.

Minor suggestions

- It would be helpful to include the teacher model's performance in the main result tables. This would allow readers to easily assess the distillation gap for each task.
- L469 mentions improvements of 12.4% and 11.5% over MAE and HAP, respectively. However, it seems there is no corresponding values in Table 4."
"['Experimental Rigor and Validation', 'Reproducibility and Transparency', 'Comprehensive Analysis and Evaluation']","['Theoretical Justification and Development', 'Clarity and Presentation Issues', 'Comparative Analysis and Baselines']",IK8sCRQyNZ,AEKji3PwD9,human,"The paper argues that fine-tuning language models using knowledge distillation makes them compromise their safety performance more than fine-tuning them on standard fine-tuning datasets For knowledge distillation the authors utilize different experimental setups: hard label distillation, soft label distillation with forward KL divergence, reverse KL divergence, and JS divergence. Building on this observation, the authors argue that practitioners should be careful while using knowledge distillation for fine-tuning smaller models.
The authors compare multiple baselines of different ways to perform knowledge distillation. They also consider multiple tasks and open source their code for reproducibility.
It is not clear why distillation should lead to larger decrease in model’s safety performance as compared to standard fine-tuning. It seems that the key underlying reasons might be related to the distribution shift between the distillation and the SFT datasets. For some reason the SFT datasets seem to be difficult to train with (as the utility doesn't increase much on in-distribution datasets in table-3). It is also not clear why authors observe degradations in utility as well as safety performance (in some cases) in Table-3 on training using SFT. This might be because learning the SFT distribution is difficult for the model. Overall, I think the authors should look at the utility vs safety trade-off which they observe (in Fig.1 and Table-3) instead of highlighting the larger degradation in safety performance on using knowledge distillation. A fair comparison should have similar utility.

It would be great if the authors can bring some more insights on why they think knowledge distillation could hamper safety performance more than SFT. Currently, it is not clear as in case of using hard labels for knowledge distillation (KD), both SFT and KD would use the same training loss. I think deeper investigation is needed in this direction to make the claims of this paper more grounded.
It would be great if the authors can try to use hard label distillation between different families of models. This can help them give effects similar to SFT.

I would recommend that the authors should try to compare their numbers for the same utility performance. Then their results can give a stronger signal.

Perhaps reframing their results as demonstrating safety-utility trade-off could be more interesting. This has also been observed recently in a few other works [1]

[1] The Jailbreak Tax: How Useful are Your Jailbreak Outputs?  (https://arxiv.org/abs/2504.10694)"
"['Clarity and Presentation', 'Novelty and Innovation', 'Empirical Validation and Results']","['Theoretical Justification and Development', 'Computational Complexity and Cost', 'Resource and Cost Analysis']",iMB8rmDP91,ytCDRzvf5f,human,"This paper introduces ERPV, a novel visual reinforcement learning method.
Specifically, ERPV leverages the vision language model to (1) select actions to guide policy learning and (2) provide reference actions for better exploration.
Experiment results on various benchmarks show that ERPV achieve superior performance and learning efficiency.
1. The paper writing and structure are clear.
2. Good motivation and novelty regarding VLM as the prior knowledge for policy learning and exploration (VPG and VER components).
3. Empirical results demonstrate the superior improvements on various benchmarks.
1. As mentioned in the limitation, it would be great to analyse the theoretical properties of ERPV, including convergence and optimality. It feels like be easy to extend from SAC.
2. The training speed deeply depends on the inference speed of VLM. It would be better to have the statistics of the training speed comparison in section 4.4.
See weakness."
[],[],VkMNKxLINw,OOiKGlYtQZ,human,"In this paper, the authors propose a knowledge distillation approach to distill a Transformer model into a CNN model. The authors first present the related works of vision transofrmer and knowledge disttilation. Then, they propose their method, including a global information supplement method and a semantic information alignment. In addition, they analyze the loss function of the global information supplement method. Finally, they conducted an experimentation to show the advantages of the proposed approach. The idea of the global information method and semantic information alignment is interesting. In addition, the experimental results demonstrate the advantages of the proposed approach.
1. The proposed approach, including the global information supplement method and the semantic information alignment is interesting and appears to be effective in the knowledge distillation.
2. The experimentation results show clear advantages of the proposed approach.
3. The analysis of the global information provides additional breakdown of the global information supplement method.
1. The experimental results exploit two datasets, i.e., CIFAR-100 and ImageNet. More datasets can be exploited to show the generalization of the proposed approach.
2. The structure of the paper can be improved, e.g., the analysis section can be moved before semantic information alignment.
3. Theoretical analysis of the proposed approach can be provided to show the convergence.
4. The """""" in ""”PE”"" can be adjusted.
1. How to adjust the hyperparameters, e.g., β.
2. Are W and W1 trained during the knowledge distillation process?
3. Is there any theoretical analysis for the convergence of the proposed approach?"
"['Clarity and Presentation', 'Methodological Soundness and Innovation', 'Empirical Validation and Results']","['Novelty and Contribution', 'Assumptions and Limitations', 'Outdated Methods or Comparisons']",ituBarcjLy,VELffHH0sD,human,"This addresses continual learning with the proposed SOPRANO method. The method consists of three main components. The first component is to manage a balanced replay buffer, the second is to perform knowledge distillation with the model from the previous task, and the last is to scale the learning rate based on the learning dynamics. The authors have shown improved performance of the proposed method with respect to the existing methods in the experiment section.
1. The paper is easy to follow
2. The method is simple and straightforward
1. Limited novelty
2. Underlying issues with the proposed methods
3. Outdated baseline methods

Please see below in the Question section. I would strongly suggest that authors review the literature (especially the recent and advanced methods) of the field before revising this work.
1. The novelty is very limited

Overall, the proposed method provides little insight to the continual learning community in this work, as the proposed method is merely a A+B+C with existing techniques (e.g., buffer balancing, distillation, learning rate scaling). Moreover, the proposed components have several issues (please see below). I am not convinced that this work is anywhere near the bar of this venue.

2. There is no management of the data

The proposed method relies on reservoir sampling to fill the per-task buffer. Reservoir sampling preserves the initial distribution of the data. The observed balance is merely a result of the ""balanced data stream"", not because of the so-called management. I am not convinced that the proposed component can achieve a balanced buffer if the input data stream is imbalanced.

3. Learning rate scheduling might introduce issues of plasticity

As the learning rate decays with Equation 6, there is clearly an issue of plasticity when the model learns a long sequence of tasks, as the learning rate would quickly shrink to 0.

4. The comparison is out of date.

The baseline methods are mostly papers published before 2021."
"['Motivation and Importance', 'Clarity and Presentation', 'Empirical Validation and Results']","['Comparative Analysis and Baselines', 'Novelty and Contribution', 'Domain or Dataset Limitations']",4WpRdcRlgF,vxHuIehryA,human,"This paper introduces an intra-class contrastive objective to the retraining of teacher to enrich its intra-class knowledge to allow better knowledge distillation. A margin loss is incorporated to improve the convergence of teacher training. Experimental results on different classification datasets, models, and settings demonstrate the effectiveness of the proposed method.
The method is well-motivated, simple, and clearly presented. Empirical evidence suggests that the proposed method yields promising results on different classification datasets. Furthermore, it is compatible with the classic relational method of RKD, which adds to its versatility.
1.Recent strong KD baselines are missing for introduction and comparison. For example, Tables 2 and 3 only present outdated KD methods, and recent strong baselines such as FCFD [1], LSKD [2], CRLD [3], and SDD [4], are absent for comparison.

2.The proposed method involves retraining the teacher, which makes the comparison to other traditional non-retraining methods seemingly unfair. Instead, the authors should compare their method to other baselines that also involve teacher retraining [5, 6].

3.Since the concepts of using contrastive/margin loss for better representation learning and the exploitation of intra-class relation are well-established, and have also been explored in the knowledge distillation literature, the technical contribution of the paper is limited.

4.Some descriptions in the manuscript seem inaccurate or incorrect. For example, on lines 44-45, the method of Tian et al. (2019) does not involve retraining the teacher model and should therefore not be given as an example here.

5.The method is only evaluated on image classification task. To prove its practical value, the authors should consider conducting experiments on other tasks such as object detection (like in DKD and ReviewKD), or cross-architecture (like in [7, 8]), and show that its effectiveness persists.

[1] Liu et al. Function-Consistent Feature Distillation. ICLR 2023.

[2] Sun et al. Logit Standardization in Knowledge Distillation. CVPR 2024.

[3] Zhang et al. Cross-View Consistency Regularisation for Knowledge Distillation. ACM MM 2024.

[4] Wei et al. Scale Decoupled Distillation. CVPR 2024.

[5] Dong et al. Toward Student-Oriented Teacher Network Training for Knowledge Distillation. ICLR 2024.

[6] Hamidi et al. How to Train the Teacher Model for Effective Knowledge Distillation. ECCV 2024.

[7] Hao et al. One-for-All: Bridge the Gap Between Heterogeneous Architectures in Knowledge Distillation. NeurIPS 2023.

[8] Zhang et al. Cross-Architecture Distillation Made Simple with Redundancy Suppression. ICCV 2025.
Please see Weaknesses."
