essay_id,raw_id,draft1,draft3,feedback_text,output_text
argrewrite_1,1,"The topic of self-driving cars is highly debated especially in light of recent event with the death of an Arizona woman at the hands of a self-driving Uber. Those for self-driving cars argue that they reduce the rate of accidents as a result of distracted drivers, improve traffic flow, are cost saving in terms of time and monetary value from insurance, and could allow greater access to transportation for the disabled and elderly. Those against self-driving cars argue the system does not eliminate accidents, that there is a learning curve with the technology, that it would take away profit from other sectors of the economy, and that there are instances in which the technology is not equipped to make a decision. While both sides make valid points, the benefits of adopting a system of self-driving cars rises to the forefront. 

Many people are quick to point out the flaws in self-driving cars but it is still in its infancy and has the ability to develop and improve with time whereas we have not seen that in human motorists over the years. Certainly we may expect the number of accidents by self-driving cars to rise as it is more widely adopted but this number palls in comparison to the number of accidents caused by drivers. Tragedies such as those in Arizona should not happen but unfortunately with nearly 1.3 million people dying in motor vehicle accidents a year and 81 percent of accidents being the result of human error it appears the main culprit is us. As humans we already rely on computers and technology for many daily tasks and self-driving cars are an extension of the innovative mindset our tech fields have embraced. 

Those against also argue that investing in self-driving cars may take away money from other industries and sectors of the economy. Again while self-driving cars may impact the profits of other transportation system, overall the profits from developing and implementing this technology will outweigh the losses. There is a reason many people invest in tech companies as the have become more profitable in the 21st century. Especially with the start-up of new technology, as they industry grows this will demand that more and more jobs be created to replace the ones lost. Also, savings in terms of reduced accidents are astronomical. The U.S. Department of Transportation has assigned a value of 9.2 million for each human life, with savings coming from venues such as healthcare and insurance. There is also the argument that self-driving cars may also save you time as they free up your transportation time to attend to other daily tasks when you do not have to focus on the driving. With more efficient driving the self-driving cars have the potential to decrease driving time and traffic as well.

Though people are still resistant to the idea of self-driving cars it is already in ways being implemented into our driving with features such as autonomous braking, self-parking and sensor detectors. The technology for this field is currently available and calls on our investment to develop and improve. While no system is perfect, one that saves us lives and on costs should be highly considered.","The topic of self-driving cars is both highly debated and relevant to today’s society. In light of recent events with the death of an Arizona woman at the hands of a self-driving Uber, many are conflicted on what stance to take on the matter. Arguments for self-driving cars include they reduce the number of accidents resulting from distracted drivers, improve traffic flow, are cost saving in terms of time and monetary value, and may permit increased access to transportation to all citizens. Arguments against self-driving cars include the system does not eliminate accidents completely, there is a learning curve with the technology, it would reduce profit from other transportation sectors in the economy, and that there are instances in which the technology is not equipped to make human judgement decisions. While both sides provide valid points, the benefits of adopting a system of self-driving cars rise to the forefront due to the lives and money saved. 
	Many people are quick to call attention to the flaws in self-driving cars but the technology is still in its infancy and has the capability to develop and improve with time, whereas we have not seen this progression in human motorists over the years. Certainly we could expect the number of accidents caused by self-driving cars to rise as it is more widely adopted, but this number palls in comparison to the number of accidents caused by drivers themselves. Tragedies such as those in Arizona should not happen, but unfortunately with nearly 1.3 million people dying in motor vehicle accidents a year and 81 percent of accidents being a result of human error, it appears the main culprit is us. As humans we currently rely on computers and technology for many of our daily tasks, and self-driving cars are an extension of the innovative and tech driven culture our society has already embraced. 
	Those against also argue that investing in self-driving cars may take away money from other industries. Again while self-driving cars may impact the profit of alternate transportation systems, overall the profits from developing and implementing this technology will outweigh the losses. There is a reason many people invest in tech companies, such as Google, as they have become more profitable in the 21st century. Especially with the start-up investment in new technology, as the industry grows this will demand more and more jobs to be created that can replace those lost. Also, the savings in terms of reduced accidents are astronomical. The U.S. Department of Transportation assigned a value of 9.2 million for each human life, with savings coming from venues such as healthcare and insurance. Each life saved from switching to self-driving cars is another member of society with the potential to become a productive member of our workforce. There is also the argument that self-driving cars may save you time as they free up your transit time to attend to other daily tasks when you do not have to focus on the driving. With more efficient driving the self-driving cars have the potential to decrease driving time and traffic as well. 
	Though people are still resistant to the idea of self-driving cars it is already in ways being implemented into our driving with features such as autonomous braking, self-parking and sensor detectors. The technology for this field is currently available and calls on our investment to develop and improve. While no system is perfect, one that saves us lives and on costs should be highly considered.","Thank you for your participation in the study. Your draft has been read, and feedback from an expert writing instructor is written below. We advise that you use this feedback when you revise. 

The strengths of your essay include:
You provided specific and convincing evidence for each claim, and most evidence is given through relevant direct quotations or detailed examples from the provided reading. 
You make multiple, distinct claims that are clear, and align with both your thesis statement, and the given reading. All of your claims are easily located in each paragraph and fully support your argument.
You essay has a logical sequence of ideas, and each body paragraph makes a distinct claim. Your essay has an introduction, body, and conclusion. 
You responded to all parts of the prompt, and the entire essay is focused on the prompt.		
Areas to improve in your essay include:  
You provided a brief statement that reflects a thesis, and is indicative of the stance you are taking toward self-driving cars.","The topic of self-driving cars is highly debated, especially in light of recent events such as the death of an Arizona woman involving a self-driving Uber. Proponents argue that self-driving cars reduce accidents caused by distracted drivers, improve traffic flow, save time and money through lower insurance and other costs, and could increase transportation access for the disabled and elderly. Opponents contend that the system does not eliminate accidents, that there is a learning curve with the technology, that it could reduce profits in other sectors of the economy, and that there are situations in which the technology is not equipped to make a decision. While both sides make valid points, the benefits of adopting self-driving cars rise to the forefront.

Many people are quick to point out the flaws in self-driving cars, but the technology is still in its infancy and can develop and improve over time, whereas human motorists have not shown comparable improvement. Certainly we may expect the number of accidents involving self-driving cars to rise as they are more widely adopted, but this number pales in comparison to the number of accidents caused by human drivers. Tragedies such as the Arizona incident should not happen, but with nearly 1.3 million people dying in motor vehicle accidents each year and 81 percent of accidents resulting from human error, it appears the main culprit is us. As humans, we already rely on computers and technology for many daily tasks, and self-driving cars are an extension of the innovative mindset our tech fields have embraced.

Opponents also argue that investing in self-driving cars may divert money from other industries. Again, while self-driving cars may impact the profits of some transportation systems, the overall economic benefits from developing and implementing this technology will outweigh the losses. There is a reason many people invest in tech companies: they have become more profitable in the 21st century. Especially with the startup of new technologies, as the industry grows it will demand that more jobs be created to replace those lost. Savings from reduced accidents are also substantial. The U.S. Department of Transportation has assigned a value of $9.2 million for each human life, with savings coming from areas such as healthcare and insurance. Self-driving cars may also save time by freeing up travel time for other daily tasks when you do not have to focus on driving. With more efficient driving, self-driving cars have the potential to decrease travel time and reduce traffic.

Though people remain resistant to self-driving cars, the technology is already being implemented in driving features such as autonomous braking, self-parking, and sensor detectors. The technology for this field is currently available and calls for investment to develop and improve. While no system is perfect, one that saves lives and reduces costs should be seriously considered."
argrewrite_2,2,"Self-driving car is a new technology and receives a lot of debates recently. On one hand, self-driving cars offer positive impacts, e.g. safer commuting, cost savings, and give opportunities to many people who can't travel by themselves at this moment. On the other hand, people also raise concerns about the security, safety, and economy of the technology.
In my opinion, I support bringing self-driving cars into reality. The technology can bring many benefits to humanity. First, we, as human in modern societies, will save a lot of money thanks to the technology. Because when a lot of self-driving cars are on the street and they can communicate with each other, they can reduce the problem with congestion or unknown traffic conditions. Second, self-driving cars are supposed to be more safety because it can eliminate mistakes made by a human. The most common mistake is driving under the influence (of alcohol, drugs, or tireness). Moreover, drivers tend to have false confidence as they have more driving hours. This false confidence will increase the chances that an accident will happen. Last but not least, self-driving cars put an equity for people having difficulties in traveling, such as old people or disabilities. While public transportations are available in all cities, in many cases, they can only take a person to a pre-designated location (stop) rather than the real destination. Public transportations are operated with a fixed schedule which does not perfectly match everyone's situations. 
The cons about self-driving cars could be categorized into two groups: not-ready and not-true. The not-ready group contains arguments about new challenges that the technology will bring in when it is deployed in mass. For example, when an accident is made by a self-driving car, who will hold the responsibility? Or security issues such as how can drivers protect their personal data and what will happen if the car is hijacked by a hi-tech criminal? Interestingly, what would the car-makers or software designers choose in moral-sensitive situations? For example, given an unavoidable accident will happen, which will either kill an old pedestrian crossing the street or a baby in a stroller on the pavement, which choice should be made by the self-driving car? These issues must be addressed or disclosed before deploying self-driving cars in the mass. The not-true group consists of false assumptions about the self-driving technology. For example, there are concerns about drivers are no longer equipped with the skills to operate cars. In fact, we are living well in a society without knowing much about our daily stuffs. I don't know anything about fixing a car, but I can always call AAA or my friends whenever my car breaking down. I use the washing machine at least twice a week without knowing how to make such a machine. Another false opinion is the difference between states regarding turning right on red or cars cannot interpret police officers' signals when directing traffics. In fact, the car can update its algorithm according to the state it is traveling simply based on GPS signal. Moreover, when all cars on the streets are self-driving cars, the police officer does not need to go down the street and directs the traffic but just sends information to the car through a communication channel, e.g. 3G or wifi. Last but not least, some people even afraid that auto manufacturers might sell fewer cars. This is not true as a self-driving car is still a car which needs a manufacturer. In fact, we have seen more and more car manufacturers join the self-driving race nowadays, such as Volvo, BMW, Toyota, Honda, and many more.
In conclusion, I think self-driving car is a revolution that will have more benefit to our society. However, there are still some concerns needed to be addressed in order to make this technology available to everyone.","Self-driving car is a new technology and receives a lot of debates recently. On one hand, self-driving cars offer positive impacts, e.g. safer commuting, cost savings, and democratizing commuting. On the other hand, the technology also raises a number of concerns, e.g. security, safety, and economy. 
	In my opinion, I support self-driving cars because the technology will have positive impacts on the society. First, self-driving cars are supposed to be more safety because it eliminates deadly mistakes made by a human, such as driving under the influence (of alcohol, drugs, or tiredness). Moreover, drivers tend to have a false confidence over time, which will increase the chances that an accident will happen. Second, when a lot of self-driving cars are on the street and communicate with each other, they can reduce the problem with congestion or unknown traffic conditions. Consequently, we can save the cost of gas and our traveling time. Last but not least, self-driving cars democratize commuting and put an equity for people having difficulties in traveling, such as old people or disabilities. While public transportations are available in all cities, they only operate on a pre-designated route and stop at particular locations (e.g. bus stops) rather than the travelers' desired destinations (e.g. a coffee shop on a small street) and schedules (e.g. after midnight). Furthermore, self-driving cars also provide private space for the travelers while in public transportations the travelers must share the space with many strangers. 
	Self-driving cars also have shortcomings but I think we can address them in a near future. These shortcomings can be categorized into two groups: the not-ready and the not-true. The not-ready group contains arguments of new challenges of the technology that our society has not addressed, e.g. legal responsibility and security. For example, when an accident is made by a self-driving car, who will hold the responsibility? What would car-makers or software designers handle moral-sensitive situations? For example, which choice should be made by the self-driving car given an unavoidable accident killing either an old pedestrian crossing the street or a baby in a stroller on the pavement? Security is another critical issue, such as how can drivers protect their personal data or even the self-driving cars if the vehicles are hacked? These issues must be addressed or disclosed before deploying self-driving cars in the mass. On the other hand, the not-true group consists of false assumptions about the self-driving technology, e.g. human drivers' skills, different traffic regulations, interpreting police officers' signals, or the labor force. For example, there are concerns that drivers are no longer equipped with the skills to operate cars. In fact, we are living well in a society without knowing much about our daily stuff. I don't know anything about fixing a car, but I can always call AAA or my friends whenever my car breaking down. Another false opinion is the traffic regulation differences between states, e.g. turning right on red or not. In fact, cars can update its algorithm according to the state it is traveling simply based on the GPS signal. They said that cars cannot interpret police officers' signals when directing traffics. However, when all cars on the streets are self-driving cars, police officers do not bother going down the streets to control the traffic. The officers just send information to the cars through a communication channel, e.g. 3G or wifi. Last but not least, some people even afraid that auto manufacturers might sell fewer cars and this will affect the labor force. This is not true as a self-driving car is still a car which needs to be manufactured. In fact, we have seen more and more car manufacturers join the self-driving race nowadays, such as Volvo, BMW, Toyota, Honda, and many more. These false assumptions will disappear when self-driving cars are deployed in the mass.
	In conclusion, I think self-driving car is a revolution, of which advantages will outweigh shortcomings, and brings positive impact to the society. I am excited to wait for the time that the technology will be complete and deployed to everyone.","Thank you for your participation in the study. Your draft has been read, and feedback from an expert writing instructor is written below. We advise that you use this feedback when you revise. 

The strengths of your essay include:
You made multiple, distinct, and clear claims that aligned with either your thesis, or the given reading, but not both.
You provided specific and convincing evidence for each claim, and most evidence is given through relevant direct quotations or detailed examples from the provided reading. 
Your essay explains a different point of view and elaborates why is it not convincing or correct.
Areas to improve in your essay include:  
Your essay’s sequence of ideas is inconsistent, with some clear and some unclear progression. 
A noticeable number of your sentences are difficult to understand because of word choice, and sentence structure. Although, your overall point is understandable.","Self-driving cars are a new technology and have received a lot of debate recently. On one hand, self-driving cars offer positive impacts, e.g., safer commuting, cost savings, and opportunities for many people who cannot travel by themselves at this time. On the other hand, people raise concerns about the security, safety, and economic effects of the technology.

In my opinion, I support bringing self-driving cars into reality. The technology can bring many benefits to humanity. First, we, as humans in modern societies, will save a lot of money thanks to the technology. When many self-driving cars are on the street and can communicate with each other, they can reduce congestion and unknown traffic conditions. Second, self-driving cars are supposed to be safer because they can eliminate mistakes made by humans. The most common mistakes are driving under the influence (of alcohol, drugs, or tiredness). Moreover, drivers tend to develop false confidence as they gain more driving hours. This false confidence increases the chances that an accident will happen. Last but not least, self-driving cars promote equity for people who have difficulties traveling, such as the elderly or people with disabilities. While public transportation is available in many cities, in many cases it can only take a person to a pre-designated stop rather than to their real destination. Public transportation operates on a fixed schedule that does not perfectly match everyone’s needs.

The cons about self-driving cars can be categorized into two groups: not-ready and not-true. The not-ready group contains arguments about new challenges that the technology will bring when it is deployed en masse. For example, when an accident is caused by a self-driving car, who will hold the responsibility? Or security issues such as how drivers can protect their personal data and what will happen if the car is hijacked by a high-tech criminal? Interestingly, what would carmakers or software designers choose in morally sensitive situations? For example, given an unavoidable accident in which either an elderly pedestrian crossing the street or a baby in a stroller on the pavement will be killed, which choice should the self-driving car make? These issues must be addressed or disclosed before deploying self-driving cars en masse. The not-true group consists of false assumptions about self-driving technology. For example, there are concerns that drivers will no longer be equipped with the skills to operate cars. In fact, we live well in a society without knowing much about many of our daily things. I do not know anything about fixing a car, but I can always call AAA or my friends when my car breaks down. I use the washing machine at least twice a week without knowing how to make such a machine. Another false opinion concerns differences between states regarding turning right on red or cars’ ability to interpret police officers' signals when directing traffic. In fact, the car can update its algorithm according to the state it is traveling in simply based on the GPS signal. Moreover, when all cars on the streets are self-driving, the police officer would not need to go onto the street to direct traffic but could send information to the cars through a communication channel, e.g., 3G or Wi‑Fi. Last but not least, some people even fear that auto manufacturers might sell fewer cars. This is not true, as a self-driving car is still a car that needs a manufacturer. In fact, we have seen more and more car manufacturers join the self-driving race nowadays, such as Volvo, BMW, Toyota, Honda, and many more.

In conclusion, I think self-driving cars are a revolution that will bring more benefits to our society. However, there are still some concerns that need to be addressed in order to make this technology available to everyone."
argrewrite_3,3,"Self-driving cars, though only recently becoming a technological feasibility, have advanced rapidly in their short time of development and have thoroughly captured the public eye. The debate on their fitness to our automotive environment and on their desirableness to our society as a whole is raging onward with impassioned argument on both sides. In this essay I will aim to provide convincing evidence that though it is not perfect, the prospect of driver-less roads would mark a definitive improvement over our current conditions. 

To start with, consider the fallibility of human drivers. On a regular basis we turn on our engines without sufficient sleep, absentmindedly forget to check blind-spots, and allow our attention to be torn from the road by the slightest of mobile vibrations. With an estimated 33,000 annual fatal accidents and overwhelming evidence that human error accounts for a significant number of these it seems incontrovertible that we should do better. Although it is not yet certain that self-driving cars in their current condition would cause that number to go down, the lack of human fallibility makes the prospect seem likely. Furthermore, whereas human driver tend to fall into a lull of false confidence when they have engaged in a task for an extended period of time, self-driving cars can be designed to improve and become more safe over time. There is no distraction, no sleep deprivation, no intoxication, and no frantic concern for being late to take a self-driving car away from the task of safely getting from point A to point B. 

Furthermore, self-driving cars could give society a method of transportation which is much less restrictive. Currently, driving privileges are limited to those capable of operating the machinery, passing their test, and -for the most part - affording to own their own vehicle. If a child needs to be transported to any sort of extracurricular event they are bound by their parents' schedules and mobilities. If a senior citizen who has been deemed unsafe to drive decides to go shopping they must wait for long periods to use public transportation with conditions that could be extremely painful or uncomfortable with those who experience chronic pain from arthritis or similar conditions. Furthermore, many who cannot afford their own car are forced to commute long distances to their jobs, health-care, and programs, forcing a de facto restriction on who may access what. Although it is likely that one who cannot afford a regular car could not afford their own self-driving car, there is nothing to say that they must have their own. The ability to have a car drive back to the place it left from could allow a much more intricate form of car sharing; additionally, the current restrictions on insured drivers that hassle any type of shared vehicle would likely be thoroughly relaxed or missing entirely for a driver-less car. Even beyond the prospect of shared cars, self-driving vehicles could revolutionize public transportation, making a wider range of pick up locations and drop off locations feasible. If large buses or a huge fleet of public cars were to have flexible routes that could give people who do not have the means to own their own car a transportational freedom akin to it at a fraction of the price that services like Uber and Lift offer today. 

A society which supports self-driving cars would certainly look different from ours. How we implement them will determine much of their success and failure. For that reason it is not a guaranteed success, however, looking at the massive limitations and problems with our current system, it does not seem to be a stretch to claim that this could bring us dramatic improvements.","Self-driving cars, though only recently having become a technological feasibility, have advanced rapidly in their short time of development, managing to thoroughly capture the public eye. A debate on their fitness to our automotive environment and on their desirableness to our society as a whole has been raging onward with impassioned arguments on both sides. In this essay I aim to provide convincing evidence that, though they have potential to cause societal harm, given the distressing array of negative societal impacts associated with human-driven cars, the apparent feasibility for self-driving cars to ameliorate these issues makes it only rational to welcome their implementation. 
	To start with, consider the fallibility of human drivers. On a regular basis we turn on our engines without sufficient sleep, absentmindedly forget to check blind-spots, and allow our attention to be torn from the road by the slightest of mobile vibrations. With an estimated 33,000 annual fatal accidents and overwhelming evidence that human error accounts for a significant number of these, it seems incontrovertible that we should do better. 
	While no one would rightly argue that our current system is ideal, skepticism toward self-driving cars at this stage is more than fair. The development of the vehicles is very much still in its developmental infancy. Coupling that fact with the reality of a mixed automotive environment - with both computerized and human driven cars - one might very well expect implementation of self-driving cars to cause an increase in accidents. The key question then becomes: ""would a self-driving car actually be any safer than a human-driven one?"". While there is currently insufficient information to give a definite answer, I think there are good reasons to put more faith in the self-driving cars. Whereas human drivers tend to fall into a lull of false confidence after driving for many years, self-driving cars can be designed to improve and become more safe over time. Further, there is no distraction, no sleep deprivation, no intoxication, and no frantic concern for being late to take a self-driving car away from the task of safely getting from point A to point B. In the absence of such risks, a computerized car might very well behave safer even without the ability to intuitively grasp tendencies and perceptions of neighboring human drivers. 
	Others however, are more concerned about the societal impact of these cars than their safety specs. Even if the change means less lives lost on the road, it still may be an unwise one if it leads to the ruin of lives off the road. Given the number of transportation jobs, a computerized revolution could displace the occupations of many currently employed drivers. Furthermore, given the massive economic investment needed to own such a car, might this lead to a widening of already egregious inequality gaps in the country? 
	The transportation industry represents a real threat if we have no place for the newly unemployed to turn. This however, is not a problem unique to self-driving cars but rather, is a pervasive and imminent threat encroaching on us from all directions given the rapid advance of technological competency. If we cannot, as a society solve this more generally, the threats will be realized even in the absence of the driver-less car revolution; if we do find a way to support the displaced workers of other sectors I remain hopeful that such approaches can be implemented to the transportation-sector as well. 
	As for societal inequality, self-driving vehicles, if implemented properly, could actually be a great boon to economically struggling classes. To begin, the previously considered transportation industry automation, though bad for workers, could be fantastic for commodity prices. If the cost of all daily goods dropped, many would be the better for it. Further, current systems of public transportation are woefully insufficient to serve their desired societal role. When jobs, hospitals, and enrichment events are inconvenient to access, attendance from under serviced individuals tends to drop. This creates a de-facto restriction on who may access what. With an automated public transportation system, it could be much easier to introduce flexible pick-up locations, drop-off spots, and schedules. With a more functional and convenient public transportation system, we could relieve both the economic burden of buying a vehicle as well as the logistical burden of navigating tricky and time-consuming bus routes. 
	A society which supports self-driving cars would certainly look different from ours. How we implement them will determine whether those differences were successes or failures. For that reason it is not a guaranteed success, however, looking at the massive limitations and problems with our current system, it is reasonable to maintain optimism about the ability of self-driving cars to bring about dramatic improvements to our lives.","Thank you for your participation in the study. Your draft has been read, and feedback from an expert writing instructor is written below. We advise that you use this feedback when you revise. 

The strengths of your essay include:	
You provided specific and convincing evidence for each claim, and most evidence is given through relevant direct quotations or detailed examples from the provided reading. 
Your make multiple, distinct claims that are clear, and align with both your thesis statement, and the given reading. All of your claims are easily located in each paragraph and fully support your argument.
All of your claims are supported with clear reasoning that shows a thoughtful, elaborated analysis.
Areas to improve in your essay include:  
You provided a brief statement that reflects a thesis, and is indicative of the stance you are taking toward self-driving cars.
Your essay included a rebuttal in the form of a brief acknowledgment of a different point of view.","Self-driving cars, though only recently becoming technologically feasible, have advanced rapidly in their short development and have thoroughly captured the public's attention. The debate over their fitness for our automotive environment and their desirability for society as a whole continues, with impassioned arguments on both sides. In this essay I will provide evidence that, though not perfect, the prospect of driverless roads would mark a definitive improvement over our current conditions.

To start, consider the fallibility of human drivers. On a regular basis we start our engines without sufficient sleep, absentmindedly fail to check blind spots, and allow our attention to be torn from the road by the slightest vibration of a mobile device. With an estimated 33,000 annual fatal accidents and overwhelming evidence that human error accounts for a significant number of these, it seems incontrovertible that we should do better. Although it is not yet certain that self-driving cars in their current condition would reduce that number, the removal of human fallibility makes the prospect likely. Furthermore, whereas human drivers tend to fall into a lull of false confidence when they have engaged in a task for an extended period, self-driving cars can be designed to improve and become safer over time. There is no distraction, no sleep deprivation, no intoxication, and no frantic concern for being late to prevent a self-driving car from safely transporting passengers from point A to point B.

Self-driving cars could also offer society a much less restrictive method of transportation. Currently, driving privileges are limited to those capable of operating the machinery, passing their tests, and—for the most part—affording to own a vehicle. If a child needs to be transported to an extracurricular event, they are bound by their parents' schedules and mobility. If a senior citizen deemed unsafe to drive wants to go shopping, they must wait long periods for public transportation, which can be painful or uncomfortable for those who experience chronic pain from arthritis or similar conditions. Many who cannot afford their own cars are forced to commute long distances to jobs, health care, and programs, imposing a de facto restriction on who may access what. Although someone who cannot afford a regular car might also not be able to afford a personal self-driving car, there is nothing to say they must own one. The ability of a car to drive back to where it left could enable more intricate forms of car sharing; additionally, current restrictions on insured drivers that complicate shared-vehicle use would likely be relaxed or eliminated for driverless cars. Beyond shared cars, self-driving vehicles could revolutionize public transportation, making a wider range of pickup and drop-off locations feasible. If large buses or fleets of public cars had flexible routes, people who cannot afford to own a car could enjoy transportation freedom similar to car ownership at a fraction of the price of services like Uber and Lyft today.

A society that supports self-driving cars would certainly look different from ours. How we implement them will determine much of their success or failure. For that reason, their adoption is not a guaranteed success; however, given the massive limitations and problems with our current system, it is not a stretch to claim that self-driving cars could bring dramatic improvements."
argrewrite_4,4,"There are many advantages for the United States to transition to self-driving cars. The primary benefit is simply the amount of lives saved due to the elimination of intoxicated, distracted, or otherwise dangerous drivers. Computers provide a precise, safe alternative to the potential for human error that occurs each time a driver gets behind the wheel. In addition, self-driving cars can save money on insurance costs and outdated infrastructure, decrease traffic, and are actually better for the environment.  However, some limitations to self-driving cars exist. These include a difficult transition to using these vehicles, cost, the failure of technology, and the potential for job loss and decline of certain industries.
	Frequently, we hear arguments for or against something with the justification that it benefits or does not benefit society.  In order to make an argument for either one of these, it is imperative that we consider the following questions: who is society, what is good for society, what does society need, and at what expense to the individual do we support the public good?
	In this case, the answer to these questions is easy. Anything that has the potential to save human lives is both good for the individual and good for society. Despite the limitations in technology, an initial cost, and a likely challenging transition, self-driving cars are the future, and they will save lives. No other benefit matters. No other limitation should stop us.  
America has a serious, dangerous driving problem. Every year, 33,000 people die in automobile accidents, and most of these deaths should have been prevented because the drivers were distracted, drunk, tired, or simply should not have been driving.  
If that statistic is not sobering enough, consider this. Vehicular accidents are also the number one cause of death for teenagers, again, the majority of which are preventable.  We know from cognitive scientists and psychologists that teenagers are more likely to engage in risky behavior—like dangerous, drunk, or otherwise impaired driving—and, while getting a driver’s license has been a rite-of-passage for a century in America, it’s time to stop the senseless destruction car accidents cause.
Interestingly enough, the Department of Transportation calculated that each person is worth $9.2 million. Like so many things, the government got this one wrong as well. A human life is priceless. Nothing can bring back a loved one who has been killed.
If you have reservations about self-driving cars due of the potential for technological failure, I share them with you. Just this past month, a self-driving car being tested in Arizona turned a corner, struck, and killed a woman who was crossing the street outside of a crosswalk. We have not perfected this technology. We have miles to go before it can be implemented on any kind of large scale. We have many ethical, legal, and policy considerations and implications to work through. However, we have the opportunity to save countless lives. We have the opportunity to save countless others from debilitating injury. We have the obligation to use technology the way it’s always been used—to benefit our society and improve the lives of all Americans.","There are many advantages for the United States of we were to transition to self-driving cars. The primary benefit is simply the amount of lives saved due to the elimination of intoxicated, distracted, or otherwise dangerous drivers. Computers provide a precise, safe alternative to the potential for human error that occurs each time a driver gets behind the wheel. In addition, self-driving cars can save money on insurance costs and outdated infrastructure, decrease traffic, and are actually better for the environment. However, some limitations to self-driving cars exist. These include a difficult transition to using these vehicles, cost, the failure of technology, and the potential for job loss and decline of certain industries. 
	Despite these technological limitations, an initially high cost, and a likely challenging transition, self-driving cars are the future and they will save lives by eliminating or drastically reducing the possibility of human error. Every year, 33,000 people die in automobile accidents, and most of these deaths could have been prevented because the drivers were distracted, drunk, tired, or otherwise should not have been driving.  In their article, ""Top 20 Pros and Cons Associated with Self-Driving Cars,"" the Auto Insurance Center reports that 81% of automobile accidents are due to human error. Reducing the number of vehicle accidents by 10% would be a huge win. Reducing it by 80% would be astounding. A progression from tens of thousands of traffic fatalities annually due to human error to hypothetically minuscule traffic fatalities due to technological errors alone makes self-driving cars extremely beneficial to society. 
	If that statistic is not sobering enough, consider this. Vehicular accidents are the number one cause of death for teenagers, and again, the majority of these fatalities are preventable. We know from cognitive scientists and psychologists that teenagers are physiologically more likely to engage in risky behavior—such as dangerous, drunk, or otherwise impaired driving— which leads teenagers to take driving risks that adults do not. Unfortunately, we read stories and see horrific pictures in this and other newspapers across the country of teens who have been tragically killed, paralyzed or seriously injured due to car accidents. Each year, high schools around the country ask students to sign the Prom Promise, which is a petition that encourages students not to drink and drive on Prom night. Turning sixteen and getting a driver’s license has long been a rite-of-passage in America. The freedom teens feel when they buy their first car and are able to just go is powerful. Self-driving cars would not strip this freedom and independence from teens--a driver's license and could easily be replaced by a self-driving car operator license--but the self-driving cars would save countless lives while allowing teens their beloved independence and their parents peace of mind. 
	If you have reservations about self-driving cars due of the potential for technological failure, I share them with you. Just this past month, a self-driving car being tested in Arizona turned a corner, struck, and killed a woman who was crossing the street outside of a crosswalk. We have not perfected this technology. We have miles to go before it can be implemented on any kind of large scale. We have many ethical, legal, and policy considerations and implications to work through. However, we have the opportunity to save countless lives. We have the opportunity to save countless others from debilitating injury. We have the obligation to use technology the way it’s always been used—to benefit our society and improve the lives of all Americans.","Thank you for your participation in the study. Your draft has been read, and feedback from an expert writing instructor is written below. We advise that you use this feedback when you revise. 

The strengths of your essay include:
All claims have relevant supporting evidence, though that evidence may be brief or general.
You respond to one, but not all parts of the prompt. However, your entire essay is focused on the prompt.
Areas to improve in your essay include:  
You provided a statement that somewhat show your stance for or against self-driving cars, but it is unclear, or is just a restatement of the prompt.
Your essay’s sequence of ideas is inconsistent, with some clear and some unclear progression. 
Your essay does not include a rebuttal.","There are many advantages for the United States in transitioning to self-driving cars. The primary benefit is the number of lives saved by eliminating intoxicated, distracted, or otherwise dangerous drivers. Computers provide a precise, safe alternative to the potential for human error each time someone gets behind the wheel. In addition, self-driving cars can reduce insurance costs and the need for outdated infrastructure, decrease traffic, and are better for the environment. However, some limitations to self-driving cars exist. These include a difficult transition to using these vehicles, high cost, possible technological failure, and the potential for job loss and the decline of certain industries.

Frequently, we hear arguments for or against something justified by its benefit or harm to society. To make a persuasive argument, it is imperative to consider the following questions: Who is society? What is good for society? What does society need? And at what expense to the individual do we support the public good?

In this case, the answers to these questions are straightforward. Anything that has the potential to save human lives is both good for the individual and for society. Despite limitations in technology, an initial cost, and a likely challenging transition, self-driving cars are the future, and they will save lives. No other benefit matters as much. No other limitation should stop us.

America has a serious, dangerous driving problem. Every year, 33,000 people die in automobile accidents, and most of these deaths should have been prevented because the drivers were distracted, drunk, tired, or simply should not have been driving.

If that statistic is not sobering enough, consider this: vehicular accidents are the leading cause of death for teenagers, the majority of which are preventable. Cognitive scientists and psychologists tell us that teenagers are more likely to engage in risky behavior—like dangerous, drunk, or otherwise impaired driving—and, while getting a driver’s license has been a rite of passage for a century in America, it’s time to stop the senseless destruction car accidents cause.

Interestingly, the Department of Transportation calculated that each person is worth $9.2 million. Like so many things, the government got this one wrong as well. A human life is priceless. Nothing can bring back a loved one who has been killed.

If you have reservations about self-driving cars due to the potential for technological failure, I share them. Just this past month, a self-driving car being tested in Arizona turned a corner, struck, and killed a woman who was crossing the street outside of a crosswalk. We have not perfected this technology. We have a long way to go before it can be implemented on any large scale. We have many ethical, legal, and policy considerations and implications to work through. However, we have the opportunity to save countless lives. We have the opportunity to spare countless others from debilitating injury. We have the obligation to use technology as it has always been used—to benefit our society and improve the lives of all Americans."
